Chanson;Connue;Enregistrée;Envie;Avancement
A l'ombre des maris;1;1;;100
A l'ombre du cœur de ma mie;1;1;;100
A la goutte d'or;0;0;;0
A la place Maubert;0;0;;0
A Mireille;0;0;;0
A mon frère revenant d'Italie;0;0;;0
A Paris dans chaque Faubourg;0;0;;0
Altesse;0;0;;0
L' amandier;1;1;;100
L' amour est passé près de vous;0;0;;0
Les amoureux des bancs publics;1;0;1;50
Les amours d'antan;1;0;1;50
L' ancêtre;1;1;;100
L' andropause;0;0;;0
L' antéchrist;0;0;;0
L' arc en ciel d'un quart d'heure;0;0;;0
L' assassinat;1;0;1;50
Au bois de mon cœur;1;1;0;100
Au grand café;1;0;;50
Auprès de mon arbre;1;0;;50
Avoir un bon copain;1;1;;100
Ballade à la lune;0;0;;0
La ballade des cimetières;1;1;;100
Ballade des dames du temps jadis;1;0;;50
La ballade des gens qui sont nés quelque part;1;1;;100
Le bateau de pêche;0;0;;0
Bécassine;1;0;1;50
Belleville - Ménilmontant;0;0;;0
Le bistrot;1;1;;100
Le blason;1;0,5;1;75
Bonhomme;1;0;;50
Boulevard du temps qui passe;1;1;;100
Le bout du coeur;0;0;;0
Brave Margot;1;1;;100
Le bricoleur;0,5;0;;25
Le bulletin de santé;1;1;;100
La cane de Jeanne;1;1;;100
Carcassonne;0;0;;0
Les casseuses;1;1;;100
Le cauchemar;0;0;;0
Ce n'est pas tout d'être mon père;0;0;;0
Celui qui a mal tourné;1;1;;100
Ceux qui ne pensent pas comme nous;1;1;;100
La chanson du hérisson;0;0;;0
Chanson pour l'auvergnat;1;0;1;50
Chansonnette à celle qui reste pucelle;0,5;0;0;25
Le chapeau de Mireille;0;0;0;0
La chasse aux papillons;1;0;;50
Les châteaux de sable;0;0;;0
Clairette et la fourmi;0;0;;0
Le cocu;1;0;;50
Colombine;1;0;;50
Comme hier;1;1;;100
Comme une sœur;1;0;1;50
La complainte des filles de joie;1;0;1;50
Concurrence déloyale;1;1;;100
Les copains d'abord;1;1;;100
Corne d'Aurochs;1;0;1;50
Les croquants;1;1;;100
Cupidon s'en fout;1;1;;100
Dans l'eau de la claire fontaine;1;1;;100
Les deux oncles;1;1;;100
Dieu si il existe;0;0;;0
Le discours des fleurs;0;0;;0
Don Juan;1;1;;100
Le drapeau noir flotte sur la marmite;0;0;;0
Élégie à un rat de cave;0,5;0;0,5;25
Embrasse-les tous;1;1;;100
L' enterrement de Paul Fort;0;0;;0
L' enterrement de Verlaine;0;0;;0
Entre l'Espagne et l'Italie;0;0;;0
Entre la rue Didot et la rue de Vanves;0;0;;0
L' épave;1;1;;100
Le fantôme;1;0;1;50
La femme d'Hector;1;0;1;50
Fernande;1;0;1;50
La fessée;1;0;1;50
Le fiacre;0;0;;0
La file indienne;0;0;;0
La fille à cent sous;1;1;;100
Fleur bleue;0;0;;0
Le fossoyeur;1;1;;100
Les funérailles d'antan;1;0;1;50
Gastibelza;1;1;;100
Germaine Tourangelle;0;0;;0
Le gorille;1;1;;100
Le grand chêne;1;1;;100
Le grand Pan;1;1;;100
Grand-Père;1;1;;100
Le grand vicaire;0;0;;0
La guerre de 14-18;1;0;1;50
Hécatombe;1;1;;100
Heureux qui comme Ulysse;1;1;;100
Histoire de faussaire;1;1;;100
Honte à qui peut chanter;0;0;;0
Il n'a pas eu la chaude-pisse;0;0;;0
Il n'y a d'honnête que le bonheur Viens;0;0;;0
Il n'y a pas d'amour heureux;1;1;;100
Il suffit de passer le pont;1;0;1;50
Les illusions perdues;0;0;;0
L' inestimable sceau;0;0;;0
J'ai rendez-vous avec vous;1;1;;100
Je me suis fait tout petit;1;0;1;50
Je rejoindrai ma belle;1;1;;100
Je suis swing;0;0;;0
Je suis un voyou;1;0;1;50
Jean rentre au village;1;0;1;50
Jeanne;1;1;;100
Jeanne Martin;0;0;;0
Jehan l'Advenu;0;0;;0
Une jolie fleur;1;0;1;50
Lèche-cocu;1;0;1;50
La légende de la nonne;1;0;1;50
La légion d'honneur;0;0;;0
Les lilas;1;0;1;50
La maîtresse d'école;0;0;;0
Maman, Papa;1;1;;100
La marche nuptiale;1;1;;100
La marguerite;1;0;1;50
La marine;1;1;;100
Marinette;1;0;1;50
Marquise;1;1;;100
Le mauvais sujet repenti;1;1;;100
La mauvaise herbe;1;0;1;50
La mauvaise réputation;1;1;;100
Méchante avec de jolis seins;0;0;;0
Le mécréant;1;1;;100
Le mécréant repenti;0;0;;0
Mélanie;1;0;1;50
La messe au pendu;1;0;1;50
Misogynie à part;1;0;1;50
Le modeste;1;1;;100
Mon père me donne cent sous;0;0;;0
Montélimar;1;1;;100
Mourir pour des idées;1;1;;100
Le mouton de panurge;1;1;;100
Le moyenâgeux;1;1;;100
Le myosotis;0;0;;0
Le nombril des femmes d'agents;1;1;;100
La non-demande en mariage;1;1;;100
La nymphomane;1;1;;100
Les oiseaux de passage;1;1;;100
Oncle Archibald;1;1;;100
L' orage;1;1;;100
L' orphelin;0;0;;0
Oui et non;0;0;;0
P... de toi;1;1;;100
Le parapluie;1;1;;100
Les passantes;1;1;;100
Le passéiste;0;0;;0
Les patriotes;1;1;;100
Pauvre Martin;1;1;;100
Le pêcheur;0;0;;0
Pénélope;1;0;1;50
Pensée des morts;1;1;;100
Le père Noël et la petite fille;1;1;;100
Le petit cheval;1;1;;100
Le petit fils d'Oedipe;0;0;;0
Le petit joueur de flûteau;1;1;;100
Petit oiseau;0,5;0;;25
Philistins;1;1;;100
Le pince-fesses;0;0;;0
Places de Paris;0;0;;0
Le pluriel;1;1;;100
Le pornographe;1;1;;100
Pour me rendre à mon bureau;1;0;1;50
La première fille;1;1;;100
La prière;1;1;;100
La princesse et le croque-notes;1;0;1;50
Le progrès;0;0;;0
Quand les cons sont braves;0;0;;0
Quand un vicomte;1;1;;100
Les quat'z'arts;1;1;;100
Les quatre bacheliers;1;1;;100
Quatre-vingt-quinze pour cent;1;1;;100
Les radis;0;0;;0
La religieuse;1;1;;100
Retouches à un roman d'amour de quatre sous;0;0;;0
Le revenant;0;0;;0
Les ricochets;1;1;;100
Rien à jeter;1;0;1;50
Le Roi;1;1;;100
Le roi boiteux;0;0;;0
La ronde des jurons;1;1;;100
La rose la bouteille et la poignée de main;1;0;1;50
La route aux quatre chansons;1;0;;50
S'faire enculer;0,5;0;;25
Les sabots d'Hélène;1;0;;50
Sale petit bonhomme;1;0;1;50
Saturne;1;1;;100
Sauf le respect que je vous dois;1;1;;100
Le sceptique;0;0;;0
Si le Bon Dieu l'avait voulu;1;1;;100
Si seulement elle était jolie;1;1;;100
Stances à un cambrioleur;1;0;1;50
Supplique pour être enterré à la plage de Sète;1;1;;100
Sur la mort d'une cousine de sept ans;0;0;;0
Tant qu'il y a des Pyrénées;0;0;;0
Tempête dans un bénitier;1;0;1;50
Le temps ne fait rien à l'affaire;1;1;;100
Le temps passé;1;1;;100
Terre;0;0;;0
Le testament;1;1;;100
La tondue;1;0;1;50
Tonton Nestor;1;1;;100
Tout est au duc;1;0;;50
La traîtresse;1;1;;100
Trompe la mort;1;1;;100
Les trompettes de la renommée;1;1;;100
Tu t'en iras les pieds devant;0;0;;0
Le vent;1;1;;100
Vénus Callipyge;1;1;;100
Le verger du roi Louis;1;0;1;50
Verlaine;0;0;;0
Le vieux Léon;1;1;;100
Le vieux Normand;0;0;;0
Le vin;1;1;;100
Le vingt-deux septembre;1;1;;100
La visite;1;0;1;50
